,Name,Label,count,X_UnCal_mean,X_UnCal_std,X_UnCal_min,X_UnCal_25%,X_UnCal_50%,X_UnCal_75%,X_UnCal_max,Y_UnCal_mean,Y_UnCal_std,Y_UnCal_min,Y_UnCal_25%,Y_UnCal_50%,Y_UnCal_75%,Y_UnCal_max,Z_UnCal_mean,Z_UnCal_std,Z_UnCal_min,Z_UnCal_25%,Z_UnCal_50%,Z_UnCal_75%,Z_UnCal_max,Intensity_mean,Intensity_std,Intensity_min,Intensity_25%,Intensity_50%,Intensity_75%,Intensity_max,X_Bias,Y_Bias,Z_Bias,Bias_Intensity,Accuracy,fourier_mean,fourier_std,fourier_min,fourier_25%,fourier_50%,fourier_75%,fourier_max
10,milenkosRoomNearDevices1_0,5,1000.0,9.7727122346,1.274943004938254,4.026,8.988349750000001,9.6441,10.42184925,13.054,56.825561918,0.4172457957631043,54.7658,56.5714,56.8154,57.096,58.1574,-75.55894230899999,0.8189160292452965,-81.8864,-76.006,-75.5241,-75.0422,-73.065796,95.05744896391913,0.594669371001969,93.38859184354372,94.6609446793783,95.02133490692633,95.3913110524248,98.83635116575277,0.0,0.0,0.0,0.0,1,4.130371099593809,26.91654188888286,0.2249167313331783,0.29346937657557637,0.32058546987946246,0.3572682204083533,190.6521159436024
11,milenkosRoomNearDevices1_1,5,1000.0,9.422364859,1.946519497100902,-7.1735997,8.7718,9.5404,10.3822,13.0296,56.70910071899999,0.6013927020767195,52.5454,56.4982,56.778797,57.0472,58.1208,-75.88098581099999,1.6067001967455399,-87.3398,-76.11885,-75.6156,-75.087947,-73.065796,95.2278573822746,1.0043023984499333,93.38859184354372,94.68313958888002,95.06452891231474,95.50387880257573,102.88650745573979,0.0,0.0,0.0,0.0,1,4.30638725620814,27.116867225638796,0.2760064124611913,0.3825752163254518,0.41880114781978645,0.49799969997303806,192.21140461563368
12,milenkosRoomNearDevices1_2,5,1000.0,9.449473252799999,2.0099503243921837,-7.1735997,8.793149750000001,9.601399,10.5286,13.054,56.738307528,0.6228957264305717,52.5454,56.534798,56.8154,57.1082,58.133,-75.952526546,1.61851461556887,-87.3398,-76.24085,-75.701,-75.1398,-73.261,95.30652975664,1.0105558135273902,93.58536105737905,94.76133020348584,95.13979434201022,95.5972135073107,102.88650745573979,0.0,0.0,0.0,0.0,1,4.324079059947933,27.124045454151602,0.30950793945319577,0.37555803526593773,0.4405916072987883,0.5173338253967175,192.27871045044137
13,milenkosRoomNearDevices1_3,5,1000.0,9.8398488298,1.324559516025453,3.477,9.012749625,9.741699749999999,10.653649625,13.3712,56.827733467,0.42914739181028627,55.0464,56.5714,56.8276,57.1082,58.133,-75.594419836,0.8336821832737693,-83.508995,-76.0548,-75.578995,-75.0788,-73.382996,95.09461574594233,0.6129240289782406,93.65141877808367,94.69791846800071,95.05534778769682,95.44750853451721,100.081845717205,0.0,0.0,0.0,0.0,1,4.143074867644664,26.927058297559753,0.2523327990040887,0.2973260553852613,0.32912634846721256,0.3728972346859334,190.73767355574054
14,milenkosRoomNearDevices1_4,5,1000.0,9.9252000316,1.2060307122757143,4.8677998,9.1622,9.7722,10.613999,13.3712,56.823707457999994,0.40697775237431916,54.4608,56.5592,56.8276,57.083797,58.169598,-75.48429050200001,0.8293536083213279,-81.7156,-75.9572,-75.4692,-74.97815,-73.3464,95.0118737361159,0.609359015591326,92.89418482144079,94.612443881756,94.99691825597054,95.3546389076729,98.83958169927483,0.0,0.0,0.0,0.0,1,4.136099957743705,26.88265784020887,0.22740606551199935,0.28511198240877866,0.32446236762514036,0.39138990670367696,190.42281718483312
15,milenkosRoomNearDevices1_5,5,1000.0,9.913109816399999,1.2331554587568383,4.0748,9.1866,9.796599,10.5896,13.3712,56.825891312,0.4420703958239495,54.4608,56.568349999999995,56.8642,57.096,58.4624,-75.568946423,1.0342984299160596,-82.3622,-75.9328,-75.4814,-75.0056,-73.3464,95.08094072396227,0.718084814108312,92.89418482144079,94.65172082755376,95.00584766327546,95.37758086775219,99.02346464842766,0.0,0.0,0.0,0.0,1,4.201914666522115,26.916053119427897,0.21152216385972347,0.31857412014913544,0.3906899879673049,0.46128114945102355,190.71926530754456
16,milenkosRoomNearDevices1_6,5,1000.0,9.9078882237,1.2226514702534206,4.0748,9.1378,9.7844,10.56825,13.0906,56.84158049399999,0.4302319491648395,54.814598,56.5958,56.8642,57.1082,58.4624,-75.583793914,0.9226599535399497,-82.3622,-75.96025,-75.5119,-75.0544,-73.4562,95.10072365788582,0.650348755130571,93.49830451928212,94.70565216361393,95.04334487125243,95.38492502415116,99.02346464842766,0.0,0.0,0.0,0.0,1,4.159573260672893,26.92104875011842,0.1901457435592905,0.29652900894126855,0.3322106003505151,0.39370422119287196,190.71162247610349
17,milenkosRoomNearDevices1_7,5,1000.0,9.9475138177,1.153971370764076,6.0512,9.174399,9.7844,10.5896,13.6396,56.856366861999994,0.3851720674302568,55.131798,56.620197,56.8642,57.1082,57.9744,-75.47403042699999,0.6828305380894173,-80.3614,-75.8962,-75.4631,-75.0422,-73.7734,95.0241876013985,0.5264212512536891,93.44949386979043,94.67951700750086,95.01693942275509,95.35933592550779,98.14008047724437,0.0,0.0,0.0,0.0,1,4.08951142926093,26.872862232391345,0.18766202970710436,0.24839746251778086,0.28011991327872665,0.32621753348480925,190.3084831181246
18,milenkosRoomNearDevices1_8,5,1000.0,9.9539188032,1.1352974863979763,7.1004,9.174399,9.821,10.60484975,13.6396,56.852780048999996,0.38437637852692114,55.131798,56.5958,56.851997,57.1082,58.1086,-75.460976423,0.7115228653484389,-80.3614,-75.883995,-75.45089999999999,-75.0178,-73.4074,95.01220035353533,0.5487386513954637,93.44949386979043,94.68963094992574,95.00601934306695,95.36595934735409,98.14008047724437,0.0,0.0,0.0,0.0,1,4.105938883252607,26.866140197159304,0.19928149116445462,0.26412708206175617,0.2988326169607901,0.3401584546754516,190.27832650071986
19,milenkosRoomNearDevices1_9,5,1000.0,9.9701082237,1.1529453956736697,6.7953997,9.19575,9.8331995,10.641449875000001,13.3712,56.85473203,0.37919741524410433,55.4002,56.592749999999995,56.851997,57.083797,58.2184,-75.466637228,0.739152156588787,-81.252,-75.9084,-75.45089999999999,-74.97815,-73.4074,95.01987992617501,0.563101102941633,93.50972432618974,94.67622603061221,95.0076922833289,95.38806782274679,98.5786279476439,0.0,0.0,0.0,0.0,1,4.112163558709546,26.872802386043002,0.18241293469206926,0.2756986084912544,0.30709286253606927,0.35375333932286845,190.33077480995595
