,name,location,device_id,label,count,X_UnCal_mean,X_UnCal_std,X_UnCal_min,X_UnCal_25%,X_UnCal_50%,X_UnCal_75%,X_UnCal_max,Y_UnCal_mean,Y_UnCal_std,Y_UnCal_min,Y_UnCal_25%,Y_UnCal_50%,Y_UnCal_75%,Y_UnCal_max,Z_UnCal_mean,Z_UnCal_std,Z_UnCal_min,Z_UnCal_25%,Z_UnCal_50%,Z_UnCal_75%,Z_UnCal_max,Intensity_mean,Intensity_std,Intensity_min,Intensity_25%,Intensity_50%,Intensity_75%,Intensity_max,X_Bias,Y_Bias,Z_Bias,Bias_Intensity,Accuracy,fourier_mean,fourier_std,fourier_min,fourier_25%,fourier_50%,fourier_75%,fourier_max
321,spelaMilenkosRoomTrafficTable2_004,DormRoom3,e08d976ac75c011e,5,1000.0,-4.284239933000001,0.3671893871535645,-5.58,-4.5,-4.2599998,-4.02,-3.24,12.152339766999999,0.3650915352891031,11.099999,11.88,12.12,12.42,13.2,-178.95665721999998,0.44554859510526046,-180.59999,-179.28,-178.98,-178.68,-177.48,179.42069474848185,0.44710137193735877,177.9127887477457,179.11807444343708,179.42405353857265,179.7200197486514,181.0920074507986,56.879997,-10.8,-96.299995,112.36397596970318,1,7.362063694961158,50.76874559876845,0.013576382141491197,0.06474921471135758,0.1120888224319526,0.3233908472299809,359.1697324206734
322,spelaMilenkosRoomTrafficTable2_005,DormRoom3,e08d976ac75c011e,5,1000.0,-4.2672599324,0.3642509676651647,-5.58,-4.5,-4.2599998,-4.02,-3.1799998,12.156059752,0.34973247545850433,11.04,11.94,12.179999,12.36,13.259999,-178.9769973,0.43339601004304473,-180.59999,-179.28,-178.98,-178.68,-177.84,179.44079575960467,0.43387187441099545,178.24686252498248,179.14385643924513,179.4326458251271,179.7211965552883,181.0920074507986,56.879997,-10.8,-96.299995,112.36397596970318,1,7.3659067734786206,50.80162639297081,0.011423244935753784,0.07203921695535416,0.11353672191173306,0.26300739969958375,359.40157291129674
323,spelaMilenkosRoomTrafficTable2_006,DormRoom3,e08d976ac75c011e,5,1000.0,-4.2965399335,0.3519117291039232,-5.58,-4.5,-4.3199997,-4.08,-3.1799998,12.1381197355,0.36422346535937133,11.04,11.88,12.12,12.36,13.259999,-178.98467716000002,0.4354551064719381,-180.54,-179.28,-178.98,-178.68,-177.59999,179.44794541623182,0.4354484092675834,178.02277055612885,179.1605023435614,179.46273815864504,179.7329167994914,180.9939158460527,56.879997,-10.8,-96.299995,112.36397596970318,1,7.363914873522474,50.80322622072263,0.013826112431900288,0.07348011429356395,0.1254651128174783,0.29776708759630344,359.4108100003385
324,spelaMilenkosRoomTrafficTable2_007,DormRoom3,e08d976ac75c011e,5,1000.0,-4.315439937900001,0.3652382774641575,-5.58,-4.56,-4.3199997,-4.08,-3.1799998,12.1346397365,0.3486523319354595,11.04,11.94,12.12,12.36,13.32,-178.94735746,0.4015014371229072,-180.3,-179.22,-178.98,-178.68,-177.59999,179.4109369898013,0.40104772928685983,178.02277055612885,179.14406493095203,179.426270616879,179.67290284514272,180.75397091073825,56.879997,-10.8,-96.299995,112.36397596970318,1,7.354298611170207,50.77956683983833,0.014127813546013607,0.0800652291270003,0.1148016639077922,0.27972101135904703,359.23739193084526
325,spelaMilenkosRoomTrafficTable2_008,DormRoom3,e08d976ac75c011e,5,1000.0,-4.2973199396999995,0.3606956000628624,-5.46,-4.56,-4.3199997,-4.08,-3.1799998,12.170759734499999,0.3520457287752525,11.099999,11.94,12.179999,12.36,13.44,-178.97999735999997,0.3776349922965783,-180.18,-179.22,-178.98,-178.73999,-177.78,179.44550074996613,0.37743644447699504,178.23239099557634,179.18300834868074,179.45155442518208,179.68535492412656,180.64134742632984,56.879997,-10.8,-96.299995,112.36397596970318,1,7.345989216743712,50.77906347789263,0.010918814483455594,0.07270057610455215,0.10933415163131605,0.2679158564915295,359.22573485496173
326,spelaMilenkosRoomTrafficTable2_009,DormRoom3,e08d976ac75c011e,5,1000.0,-4.3288199418,0.36425607636912705,-5.58,-4.56,-4.3199997,-4.08,-3.3,12.141239738500001,0.36633412521905173,11.16,11.88,12.12,12.36,13.44,-178.97183710000002,0.3922643935498566,-180.18,-179.22,-178.98,-178.68,-177.78,179.43615647635616,0.39127393665182286,178.23239099557634,179.15937709201827,179.44402135231616,179.7021635866254,180.57841066971434,56.879997,-10.8,-96.299995,112.36397596970318,1,7.350556737970161,50.7805297969682,0.013528112558860494,0.06880817036119317,0.11941131915006241,0.27766839196077236,359.24042305463655
327,spelaMilenkosRoomTrafficTable3_000,DormRoom3,e08d976ac75c011e,5,1000.0,-4.2525599430000005,0.37248918385362356,-5.58,-4.5,-4.2,-4.02,-3.06,12.1352997575,0.37021531237672844,11.04,11.88,12.12,12.36,13.2,-178.82867756,0.39652298199738506,-180.0,-179.09999,-178.86,-178.56,-177.65999,179.291163940359,0.39620579093828484,178.11980019351049,179.0307780797371,179.3018862120652,179.56145076011163,180.47438488605522,56.879997,-10.8,-96.299995,112.36397596970318,1,7.3465702108665,50.759664791852636,0.015317985873086375,0.07518878102402832,0.12110354800729994,0.27805273334013064,359.0918864492929
328,spelaMilenkosRoomTrafficTable3_001,DormRoom3,e08d976ac75c011e,5,1000.0,-4.244099940100001,0.39083543510859836,-5.58,-4.5,-4.2,-3.9599998,-3.06,12.141719754999999,0.37258753800477395,11.04,11.88,12.179999,12.42,13.2,-178.80209746000003,0.43362990254285716,-180.0,-179.09999,-178.8,-178.5,-177.54,179.26492975204468,0.4336786506219283,178.0237310023582,178.97497142485125,179.27570777834168,179.54981458026316,180.47438488605522,56.879997,-10.8,-96.299995,112.36397596970318,1,7.353132569246271,50.75328026972378,0.013281086580986633,0.06280248659148494,0.11018966771107809,0.3173005532027374,359.0537763619339
329,spelaMilenkosRoomTrafficTable3_002,DormRoom3,e08d976ac75c011e,5,1000.0,-4.2474599421,0.4059437605538619,-5.58,-4.56,-4.2,-3.9599998,-2.9399998,12.125999750499998,0.3613288932029208,10.92,11.88,12.12,12.36,13.08,-178.78835748999998,0.4408112754530749,-179.94,-179.09999,-178.8,-178.5,-177.36,179.2502469128139,0.4426186963356667,177.82050493365495,178.9396518206014,179.26370404464333,179.55598740146323,180.39522602900556,56.879997,-10.8,-96.299995,112.36397596970318,1,7.3542386655536465,50.74928581626065,0.010170280359617595,0.06879911053856774,0.10858165924813845,0.2900595189463414,359.0270840739754
330,spelaMilenkosRoomTrafficTable3_003,DormRoom3,e08d976ac75c011e,5,1000.0,-4.246559942699999,0.4065669218932649,-5.4,-4.5,-4.2,-3.9599998,-2.9399998,12.10883975,0.3667800371009841,10.92,11.88,12.12,12.36,13.139999,-178.76135748000002,0.4110601129880394,-180.0,-179.04,-178.73999,-178.5,-177.36,179.22214382188696,0.4145614042566277,177.82050493365495,178.93810019109318,179.21845324237654,179.50320442822184,180.46863993503138,56.879997,-10.8,-96.299995,112.36397596970318,1,7.348145827445865,50.72027965399492,0.01388449191016588,0.06843830377498877,0.11903005655725944,0.30194699448352225,358.8201720769274
